조사년도,해역,연안명칭,평균,수온(C)표층,수온(C)저층,염분 표층,염분 저층,수소이온농도(ph) 표층,수소이온농도(ph) 저층,용존산소량(DO)(L당mg)표층,용존산소량(DO)(L당mg)저층,화학적산소요구량(COD)(L당mg)표층,화학적산소요구량(COD)(L당mg)저층,암모니아성질소(NH4-N)( L당 마이크로g)표층,암모니아성질소(NH4-N)( L당 마이크로g)저층,아질산염질소(NO2-N)( L당 마이크로g)표층,아질산염질소(NO2-N)( L당 마이크로g)저층,질산성질소(NO3-N)(L당 마이크로g)표층,질산성질소(NO3-N)(L당 마이크로g)저층,용존무기질소(DIN)( L당 마이크로g)표층,용존무기질소(DIN)( L당 마이크로g)저층,총질소(T-N)( L당 마이크로g)표층,총질소(T-N)( L당 마이크로g)저층,용존무기인(DIP)( L당 마이크로g)표층,용존무기인(DIP)( L당 마이크로g)저층,총인(T-P)( L당 마이크로g)표층,총인(T-P)( L당 마이크로g)저층,SiO2-Si( L당 마이크로g)표층,SiO2-Si( L당 마이크로g)저층,부유물질량(SS)(L당mg)표층,부유물질량(SS)(L당mg)저층,클로로필-a(L당 마이크로g)표층,클로로필-a(L당 마이크로g)저층,투명도(m)표층
2020,동해,삼척항,Avg.,17.84,16.91,32.43,33.24,8.18,8.18,8.91,8.81,1.62,1.42,24.67,11.62,3.02,2.52,62.58,50.34,90.27,64.48,170.15,170.77,7.9,8.04,20.07,19.73,220.51,206.52,8.03,5.8,1.75,1.29,4.65
2020,동해,죽변항,Avg.,15.85,15.03,33.08,33.47,8.17,8.17,9.34,9.09,1.7,1.33,14.4,5.03,1.74,1.35,53.92,38.16,70.06,44.53,141.37,133.38,8.12,6.46,23.48,18.69,294.45,244.64,4.82,4.11,2.3,1.78,4.65
2020,동해,후포항,Avg.,16.69,14.85,33.02,33.76,8.17,8.16,9.23,8.63,1.54,1.36,12.24,6.33,1.98,2.33,50.68,50.18,64.9,58.84,128.39,165.78,7.8,9.21,18.99,22.44,208.98,277.26,4.73,7.93,1.42,1.51,4.15
2020,동해,축산항,Avg.,17.25,14.61,33.65,34.01,8.26,8.21,9.35,8.66,1.44,1.47,21.68,3.71,1.25,1.88,42.46,43.71,65.38,49.29,125.73,162.69,6.11,8.08,16.79,21.7,154.73,211.29,5.75,3.87,0.7,1.71,6.45
2020,동해,강구항,Avg.,18.14,17.17,32.76,33.16,8.26,8.25,9.61,9.65,1.45,1.52,5.13,7.6,2.45,2.08,66.94,61.44,74.52,71.12,172.57,179.4,8.06,7.43,18.12,20.66,276.96,252.67,5.55,11.13,1.5,1.69,3.25
2020,동해,포항 구항,Avg.,16.96,15.49,32.51,33.22,8.1,8.15,9.73,9.38,0.86,0.94,23.73,26.12,3.71,4.55,74.67,88.12,102.11,118.79,231.96,229.33,9.69,13.43,26.38,28.66,250.14,344.04,10.6,8.89,1.79,1.91,2.9
2020,동해,구룡포항,Avg.,16.78,15.76,32.75,33.33,8.18,8.13,9.26,8.22,2.41,2.05,18.82,15.27,1.79,2.73,46.28,60,66.88,78,161.98,173.46,8.15,10.4,25.98,27.14,264.11,398.2,11,5.4,3.8,3.1,4.4
2020,동해,감포항,Avg.,16.52,15.52,33.03,33.46,8.13,8.12,8.3,8.46,1.67,1.29,32.8,36.93,1.69,3.02,42.67,67.21,77.17,107.17,205.29,165.93,10.18,14.18,29.61,27.13,298.61,409.4,9.1,5.18,3.19,2.42,3.8
2020,남해,울산항,Avg.,17.43,14.16,26.58,33.64,7.96,7.93,7.24,6.91,1.73,1.81,77.73,39.94,10.23,6.49,187.25,132.98,275.21,179.41,362.53,288.56,32.26,29.82,48.24,43.15,679.69,513.93,7.17,7.43,2.3,0.95,2.7
2020,남해,대변항,Avg.,19.44,18.46,33.03,33.19,8.13,8.15,8.72,8.75,1.6,1.16,26.73,26.91,3.56,4.74,50.77,66.31,81.07,97.96,200.54,216.83,13.92,16.07,32.8,31.28,306,360.92,17.73,7.97,2.83,2.13,3.5
2020,남해,부산항,Avg.,18.21,16.69,32.46,32.77,8.15,8.15,9.48,8.92,1.8,1.65,43.7,44.46,4.58,4.9,66.19,73.43,114.47,122.8,240.48,243.11,13.39,15.96,31.39,31.78,333.35,366.57,5.62,7.33,3.25,2.54,3.99
2020,남해,신항,Avg.,15.65,13.81,31.52,32.8,8.13,8.09,9.73,8.59,1.61,1.23,30.6,31.55,6.17,9.81,91.34,144.21,128.11,185.57,276.66,239.42,11.59,22.06,33.84,32.05,415.3,512.2,10.65,14.7,5.07,2.97,1.75
2020,남해,마산항,Avg.,17.63,13.96,23.12,32.14,8.34,7.96,9.93,5.45,4.16,2.66,79.43,269.89,13.95,2.35,96.88,11.17,190.26,283.4,543.05,456.12,11.13,54.5,62.88,81.84,1089.17,751.14,23.79,7.85,15.46,4.96,1.9
2020,남해,옥포항,Avg.,17.04,15.05,31.16,32.88,8.13,8.01,8.67,7.21,2.09,1.63,32.09,29.49,7.83,10.98,108.1,133.6,148.01,174.07,263.31,270.21,11.66,21.44,29.36,31.91,400.18,552.19,8.71,10.6,4.72,2.33,2.85
2020,남해,삼덕항,Avg.,17.04,15.35,32.41,33.03,8.09,8.08,9.49,8.96,2.04,1.98,47.49,25.11,2.99,3.61,41.77,40.16,92.25,68.87,189.4,191.56,10.5,11.94,32.24,33.71,306.06,380.25,8.88,8.33,7.57,6.6,3.48
2020,남해,삼천포항,Avg.,15.84,14.86,28.01,32.34,7.95,7.96,8.58,8,1.93,1.38,35.57,28.95,7.08,7.62,98.65,55.5,141.3,92.08,240.65,165.03,15.02,14.31,33.77,26.68,738.91,551.39,9.51,11.04,1.17,0.96,1.33
2020,남해,광 양 만,Avg.,17.84,14.09,26.5,32.84,8.02,8.01,8.48,5.9,2.53,1.22,31.69,19.97,17.65,18.24,152.92,114.6,202.27,152.81,364.85,234.12,30.78,28.5,66.54,46,933.79,754.22,12.68,19.62,14.8,1.39,1.05
2020,남해,여수신항,Avg.,15.72,14.05,29.68,32.75,8.07,8.02,7.74,7.04,1.48,1.17,15.75,17.35,15.57,22.52,105.96,105.82,137.27,145.69,248.83,268.02,20.21,28.22,32.37,38.23,713.51,850.2,8.42,7.19,6.77,1.68,1.68
2020,남해,제주항,Avg.,20.19,19.13,32.74,33.3,8.18,8.32,8.29,8.16,0.93,1.66,11.47,20.53,2.16,2.16,164.92,68.26,178.55,90.96,286.56,170.25,12.49,7.37,24.48,16.46,799.83,324.53,12.28,11.15,1.13,1.62,4.2
2020,남해,성산항,Avg.,19.37,19.28,32.55,32.61,8.44,8.41,9.19,9.03,2.29,2.49,16.03,14.67,2.79,2.27,109.05,107.8,127.87,124.74,243.02,226.32,7.66,7.74,21.68,19.45,682.02,561.3,16.13,14.5,2.35,3.55,2.35
2020,남해,서귀포항,Avg.,21.4,21.45,32.13,32.37,8.41,8.39,8.67,8.68,2.01,2.17,25.14,11.53,2.95,2.29,300.02,121.93,328.12,135.75,513.07,252.97,10.01,4.15,29.23,17.65,1471.95,569.05,14.61,11.59,4.26,3.32,3.63
2020,남해,한림항,Avg.,19.84,19.05,32.99,33.24,8.33,8.34,8.09,7.98,0.98,1.33,20.11,13.69,2.11,1.5,145.4,137.86,167.63,153.05,265.27,274.36,8.02,8.74,20.66,21.03,233.3,231.95,11.24,15.18,3.06,5.12,1.75
2020,남해,완도항,Avg.,16.31,15.46,32.74,33.1,8.01,8.08,8.9,8.66,1.27,1.33,12.77,4.51,3,3.09,62.47,71.67,78.24,79.28,192.09,202.8,11.56,11.81,25.79,24.68,286.73,311.32,9.8,11.98,0.65,0.7,1.5
2020,서해,목포항,Avg.,16.54,15.28,27.48,29.07,8.16,8.12,10.12,9.11,2.28,2.1,17.27,25.03,17.31,22.92,221.49,233.74,256.07,281.68,440.04,440.72,12.02,16.72,35.8,37.26,467.69,514.45,13.34,11.3,8.1,6.14,1.75
2020,서해,대천항,Avg.,15.39,15.29,25.64,26.87,7.96,8.08,9.33,9.28,2.21,2.11,59.83,48.73,11.45,10.75,329.41,250.07,400.69,309.55,536.46,472.1,14.09,13.13,27.51,55.52,702.28,553.97,15,5.97,3.77,3.39,2.75
2020,서해,평택항,Avg.,14.09,13.49,24.17,28.05,8.05,8.02,9.19,8.58,2.77,2.6,113.94,95.54,31.56,34.55,461.44,321.74,606.94,451.83,854.91,637.44,32.1,30.23,63.86,74.49,750.37,625.38,24.45,54.55,11,9.35,1
