순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
,,,,,,,,,,,
,,,,,,,,,,,
6.0,대성홀딩스,1.47%,44700.0,19100.0,-29.94%,48451.0,44700.0,44700.0,44700.0,198.67,0.76
7.0,에코프로,1.35%,605000.0,8000.0,+1.34%,630094.0,604000.0,618000.0,588000.0,426.66,2.94
8.0,유니온,1.34%,10670.0,870.0,+8.88%,19685917.0,9640.0,10920.0,9100.0,-16.47,-8.03
9.0,POSCO홀딩스,1.15%,377000.0,2500.0,-0.66%,864025.0,377000.0,382500.0,370000.0,10.34,6.11
10.0,현대모비스,1.08%,223000.0,14500.0,-6.11%,513523.0,237000.0,237500.0,218000.0,8.48,6.8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
11.0,삼성전자,1.05%,63900.0,300.0,+0.47%,6571477.0,63600.0,64300.0,63300.0,7.93,17.07
12.0,에코프로비엠,1.03%,249500.0,4000.0,-1.58%,1274120.0,252500.0,255500.0,243000.0,102.55,24.26
13.0,하림지주,0.89%,9600.0,320.0,-3.23%,7842027.0,9700.0,9950.0,9490.0,4.28,10.12
14.0,현대차,0.79%,202500.0,1500.0,+0.75%,1510534.0,205500.0,207500.0,199900.0,7.62,9.36
15.0,선광,0.74%,57600.0,24600.0,-29.93%,15968.0,57600.0,57600.0,57600.0,26.23,4.35
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16.0,바이오니아,0.72%,51400.0,5000.0,+10.78%,2225746.0,46650.0,52700.0,45800.0,109.83,5.5
17.0,금양,0.72%,61900.0,3000.0,+5.09%,2554319.0,62400.0,66600.0,60500.0,-112.75,-24.34
18.0,현대로템,0.72%,35600.0,800.0,-2.20%,7043390.0,35600.0,36050.0,33050.0,19.65,14.06
19.0,두산에너빌리티,0.71%,17310.0,790.0,-4.36%,5291158.0,17740.0,17980.0,17250.0,-13.88,-11.7
20.0,STX,0.71%,11230.0,1430.0,+14.59%,23594706.0,10450.0,12360.0,10330.0,-23.69,-23.17
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21.0,마이크로투나노,0.61%,25650.0,450.0,+1.79%,6791159.0,25200.0,30500.0,25000.0,,25.18
22.0,엘앤에프,0.58%,266500.0,5000.0,-1.84%,532315.0,271500.0,275500.0,265500.0,35.41,28.26
23.0,LG에너지솔루션,0.58%,561000.0,10000.0,+1.81%,126320.0,551000.0,564000.0,550000.0,169.74,5.75
24.0,위메이드,0.57%,50400.0,1300.0,-2.51%,472687.0,52000.0,52500.0,49850.0,-9.15,-37.05
25.0,SK하이닉스,0.55%,87900.0,2400.0,+2.81%,2026341.0,86400.0,88700.0,86200.0,28.7,3.56
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
26.0,이아이디,0.50%,2950.0,135.0,-4.38%,24540906.0,3175.0,3250.0,2895.0,-2.86,-47.66
27.0,NAVER,0.50%,188800.0,2700.0,+1.45%,379858.0,185800.0,190900.0,185700.0,40.74,3.29
28.0,이브이첨단소재,0.48%,6940.0,720.0,-9.40%,7194489.0,7200.0,7550.0,6900.0,-20.41,-17.59
29.0,포스코스틸리온,0.44%,61600.0,8700.0,+16.45%,1664419.0,58900.0,65100.0,58500.0,16.27,6.84
30.0,유니온머티리얼,0.44%,4390.0,65.0,+1.50%,13539296.0,4195.0,4540.0,4035.0,-878.0,-0.26
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
